               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11059,            0.041499,            0.035191,           0.0028336,            0.041818,            0.001235,          0.00021597,            0.099818,            0.027126,            0.029002,             0.00026,             0.00026,             0.09766
                   1,            0.092535,            0.049755,            0.024196,             0.72287,            0.079394,            0.042764,           0.0094051,            0.080257,             0.02837,            0.022952,          0.00052999,          0.00052999,             0.09523
                   2,            0.077291,            0.045452,            0.019724,             0.79066,             0.15273,             0.12435,            0.032632,             0.06657,            0.023513,            0.021593,          0.00079992,          0.00079992,              0.0928
                   3,            0.067719,             0.03618,            0.018928,             0.89846,             0.19368,             0.24687,            0.085087,            0.058576,            0.019284,            0.020713,           0.0010698,           0.0010698,             0.09037
                   4,             0.06306,             0.03329,            0.018041,             0.91946,             0.23515,             0.32944,             0.15036,             0.05143,            0.017785,             0.01973,           0.0013395,           0.0013395,            0.087939
                   5,            0.059847,            0.031383,            0.017005,             0.66922,             0.41155,             0.41606,             0.17581,            0.050856,            0.016826,            0.018059,            0.001609,            0.001609,            0.085509
                   6,            0.056099,            0.028739,            0.014647,             0.69232,             0.42851,             0.42506,             0.17637,            0.049377,            0.015785,            0.015486,           0.0018783,           0.0018783,            0.083078
                   7,            0.054087,            0.028668,             0.01196,             0.70665,             0.46043,             0.43734,             0.17309,            0.046625,            0.015165,            0.012421,           0.0021474,           0.0021474,            0.080647
                   8,            0.051452,             0.02632,           0.0096079,             0.78248,             0.44138,             0.48198,             0.22962,            0.043243,            0.014517,            0.011412,           0.0024162,           0.0024162,            0.078216
                   9,            0.049244,            0.026109,           0.0083861,             0.75045,             0.50536,             0.51408,              0.2329,            0.046186,            0.014418,            0.011009,           0.0026846,           0.0026846,            0.075785
                  10,            0.047683,            0.026569,           0.0080874,             0.79393,               0.508,             0.53541,             0.28936,             0.04085,            0.013885,            0.010199,           0.0029527,           0.0029527,            0.073353
                  11,            0.044324,            0.023618,           0.0074015,              0.8245,             0.49414,             0.52486,             0.27574,            0.040244,            0.013852,           0.0097814,           0.0032204,           0.0032204,             0.07092
                  12,            0.044293,            0.025102,           0.0073176,             0.85625,             0.49248,             0.55638,             0.30802,            0.040546,            0.013576,           0.0096317,           0.0034876,           0.0034876,            0.068488
                  13,            0.042651,            0.024277,           0.0069395,             0.83655,             0.43591,             0.52072,             0.26787,            0.041654,            0.013498,           0.0090857,           0.0037543,           0.0037543,            0.066054
                  14,            0.041292,            0.023579,           0.0068872,             0.53261,             0.57536,             0.51075,             0.23771,            0.039504,            0.013713,            0.009278,           0.0040205,           0.0040205,             0.06362
                  15,            0.040713,            0.023446,           0.0065825,             0.90698,             0.48482,             0.55934,             0.28093,            0.037726,            0.013733,           0.0096924,           0.0042861,           0.0042861,            0.061186
