               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11439,             0.04121,            0.034165,           0.0020216,           0.0084848,          0.00062719,            0.000136,             0.10501,            0.026341,             0.02959,             0.00014,             0.00014,             0.09874
                   1,             0.10165,            0.047802,            0.024792,            0.017201,            0.052727,           0.0058493,           0.0010656,            0.092889,            0.028761,            0.023146,          0.00028999,          0.00028999,             0.09739
                   2,            0.088355,            0.049074,            0.020858,             0.41774,            0.093333,            0.052963,            0.011511,            0.079728,            0.027226,            0.021678,          0.00043996,          0.00043996,             0.09604
                   3,            0.079694,            0.045098,            0.019549,             0.80176,             0.13216,             0.12648,            0.031528,            0.071457,            0.024619,            0.020863,          0.00058987,          0.00058987,             0.09469
                   4,            0.073953,             0.03793,            0.018806,              0.8285,             0.14485,             0.15389,            0.046838,            0.065232,            0.020938,            0.020268,          0.00073971,          0.00073971,             0.09334
                   5,            0.068695,            0.035891,            0.018938,             0.80406,             0.18727,              0.1585,            0.042899,            0.064059,            0.019572,                0.02,          0.00088945,          0.00088945,            0.091989
                   6,            0.067698,            0.033177,            0.018667,              0.8746,             0.22713,             0.22163,            0.083255,            0.052873,            0.019431,            0.019634,           0.0010391,           0.0010391,            0.090639
                   7,            0.065012,            0.032424,            0.018553,             0.84017,             0.19636,             0.18182,            0.063423,            0.061727,            0.017891,            0.019018,           0.0011886,           0.0011886,            0.089289
                   8,            0.063732,            0.031095,            0.017758,             0.89407,             0.20727,             0.25737,             0.10075,            0.056109,             0.01753,            0.017965,           0.0013379,           0.0013379,            0.087938
                   9,            0.061916,            0.031325,            0.016374,             0.61613,             0.38551,             0.37193,             0.15753,            0.050362,            0.017513,            0.016377,            0.001487,            0.001487,            0.086587
                  10,            0.058856,            0.029579,            0.014012,             0.55241,             0.45961,             0.33308,             0.11536,            0.050889,            0.016741,            0.014447,            0.001636,            0.001636,            0.085236
