               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11069,            0.044546,            0.037111,          0.00053985,            0.047879,          0.00032966,          6.5126e-05,            0.098576,            0.030718,             0.03353,               5e-05,               5e-05,             0.09955
                   1,               0.103,            0.051237,            0.031538,          0.00048019,            0.029091,          0.00023472,          5.0226e-05,            0.095433,            0.031509,            0.028262,             0.00011,             0.00011,             0.09901
                   2,              0.1018,            0.051589,             0.02566,           0.0005002,            0.030303,          0.00020446,          4.4972e-05,            0.094661,            0.031746,            0.024719,          0.00016998,          0.00016998,             0.09847
                   3,             0.10061,            0.053635,            0.022824,           0.0005002,            0.030303,          0.00020221,          4.5432e-05,            0.094324,            0.032092,            0.023258,          0.00022995,          0.00022995,             0.09793
                   4,            0.099826,            0.052796,            0.021448,           0.0005002,            0.030303,          0.00020473,          4.6078e-05,            0.094031,            0.032244,            0.022639,          0.00028989,          0.00028989,             0.09739
                   5,            0.099414,            0.051579,            0.020819,           0.0005102,            0.030909,          0.00021395,           4.631e-05,            0.093884,            0.032192,            0.022328,          0.00034978,          0.00034978,             0.09685
                   6,            0.099449,            0.055951,            0.020245,          0.00049019,            0.029697,          0.00019812,          4.5343e-05,            0.094088,            0.032258,            0.022162,          0.00040964,          0.00040964,             0.09631
                   7,            0.099224,            0.055348,            0.020087,          0.00052021,            0.031515,          0.00021061,          4.4706e-05,            0.094068,            0.032323,            0.022056,          0.00046943,          0.00046943,            0.095769
                   8,            0.098457,            0.054603,            0.019578,           0.0005002,            0.030303,          0.00020006,          4.5025e-05,            0.093738,            0.032438,            0.021987,          0.00052916,          0.00052916,            0.095229
                   9,            0.098801,            0.053795,            0.019852,          0.00053021,            0.032121,          0.00021751,          4.7464e-05,            0.093842,            0.032429,            0.021938,          0.00058882,          0.00058882,            0.094689
                  10,            0.098143,            0.052915,            0.019025,          0.00052021,            0.031515,          0.00023539,          5.2273e-05,            0.093925,            0.032362,            0.021902,           0.0006484,           0.0006484,            0.094148
                  11,            0.097914,            0.053445,             0.02042,          0.00049019,            0.029697,          0.00025769,          5.3627e-05,            0.093787,            0.032419,            0.021865,          0.00070788,          0.00070788,            0.093608
                  12,            0.097334,            0.053995,            0.019733,          0.00052021,            0.031515,          0.00023482,          5.0686e-05,             0.09391,             0.03241,            0.021833,          0.00076727,          0.00076727,            0.093067
                  13,            0.097393,            0.055245,            0.019637,           0.0005102,            0.030909,          0.00025489,          5.5523e-05,            0.094004,             0.03254,            0.021813,          0.00082654,          0.00082654,            0.092527
                  14,            0.096872,            0.054839,            0.019836,          0.00048019,            0.029091,          0.00022337,          5.0567e-05,            0.093755,            0.032703,            0.021795,           0.0008857,           0.0008857,            0.091986
                  15,            0.096605,            0.054753,            0.019692,           0.0005202,            0.031515,          0.00025474,          5.0899e-05,            0.093729,            0.032711,            0.021768,          0.00094474,          0.00094474,            0.091445
                  16,            0.096028,            0.057796,            0.019162,          0.00059952,           0.0048485,          0.00024548,          5.2142e-05,            0.093661,            0.032889,            0.021758,           0.0010036,           0.0010036,            0.090904
                  17,            0.095336,            0.055954,            0.019349,          0.00057656,            0.030909,          0.00024384,          4.9719e-05,            0.093743,            0.032789,            0.021753,           0.0010624,           0.0010624,            0.090362
                  18,            0.093668,            0.057895,            0.020019,          0.00057533,            0.033333,          0.00027069,          5.5707e-05,            0.094555,             0.03227,            0.021733,            0.001121,            0.001121,            0.089821
                  19,            0.093155,            0.059105,            0.019756,           0.0012937,           0.0090909,          0.00031776,          6.5822e-05,            0.094877,            0.032021,            0.021731,           0.0011794,           0.0011794,            0.089279
                  20,            0.092118,            0.057391,            0.019372,          0.00087816,            0.030909,          0.00042186,          9.1828e-05,            0.095932,            0.031091,            0.021728,           0.0012377,           0.0012377,            0.088738
                  21,            0.090898,             0.05907,            0.019401,          0.00075885,            0.033939,          0.00061261,          0.00014145,            0.095616,            0.030694,            0.021735,           0.0012958,           0.0012958,            0.088196
