               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11911,            0.036888,            0.037996,           0.0022019,            0.026026,          0.00087246,          0.00020067,             0.11058,            0.024837,            0.032809,             0.00011,             0.00011,             0.09901
                   1,             0.10642,            0.045039,            0.027452,               0.006,            0.045455,           0.0028311,          0.00059233,            0.097582,            0.028003,            0.025074,          0.00022999,          0.00022999,             0.09793
                   2,            0.092883,            0.051642,            0.022111,            0.029122,            0.086061,            0.018183,           0.0041208,            0.084456,            0.030225,            0.022873,          0.00034997,          0.00034997,             0.09685
                   3,            0.083074,            0.047024,            0.020885,             0.74467,             0.11333,            0.068521,            0.015932,            0.074611,            0.039326,            0.022953,           0.0004699,           0.0004699,             0.09577
                   4,            0.077843,            0.041092,            0.019809,             0.80734,             0.13152,             0.11343,            0.029321,            0.069455,            0.026478,            0.021961,          0.00058977,          0.00058977,             0.09469
                   5,             0.07343,            0.037718,            0.018921,             0.83877,             0.17818,             0.18176,            0.052934,            0.062441,            0.022898,            0.021531,          0.00070956,          0.00070956,             0.09361
                   6,            0.071792,            0.037851,            0.019485,             0.81319,             0.19091,             0.16504,            0.046485,            0.063608,            0.021279,            0.021014,          0.00082926,          0.00082926,            0.092529
                   7,            0.069982,            0.033701,            0.018757,             0.85679,             0.16364,             0.19202,             0.04777,            0.058723,            0.020331,            0.020571,          0.00094885,          0.00094885,            0.091449
                   8,             0.06898,            0.033758,            0.018563,             0.84845,              0.1903,              0.2171,            0.078504,            0.057492,            0.020096,            0.020244,           0.0010683,           0.0010683,            0.090368
                   9,            0.068363,             0.03347,            0.018424,             0.81158,             0.19996,             0.19237,            0.059933,             0.06513,            0.018806,            0.019963,           0.0011876,           0.0011876,            0.089288
                  10,            0.066143,            0.031568,            0.018083,             0.89461,             0.20242,             0.24998,            0.089782,            0.060738,            0.017696,            0.019355,           0.0013068,           0.0013068,            0.088207
                  11,             0.06609,            0.031755,            0.017837,             0.88331,             0.20704,               0.268,             0.10508,            0.058719,            0.018994,            0.018677,           0.0014257,           0.0014257,            0.087126
                  12,            0.063051,            0.031235,            0.017603,             0.23455,             0.37709,             0.30653,             0.11426,            0.056969,            0.018296,            0.017669,           0.0015445,           0.0015445,            0.086045
                  13,            0.063045,            0.030781,            0.016138,             0.65028,             0.37224,               0.352,             0.13134,            0.055152,            0.016945,            0.016191,            0.001663,            0.001663,            0.084963
                  14,            0.061121,            0.029461,            0.014261,             0.63264,             0.38874,             0.34005,             0.13214,            0.052595,            0.016431,            0.014611,           0.0017814,           0.0017814,            0.083881
                  15,            0.059645,            0.031121,            0.013685,             0.62886,             0.43665,              0.4325,             0.17357,            0.049056,            0.017094,            0.014004,           0.0018994,           0.0018994,            0.082799
                  16,            0.057118,             0.02886,            0.012269,             0.72618,             0.39232,              0.4308,             0.18172,            0.048321,            0.016089,            0.012892,           0.0020172,           0.0020172,            0.081717
                  17,            0.057378,            0.029788,            0.010754,              0.6613,             0.43967,             0.42795,             0.18971,             0.04367,            0.015776,            0.012353,           0.0021347,           0.0021347,            0.080635
                  18,            0.057346,            0.027794,           0.0098783,             0.63599,              0.4421,             0.40706,             0.17037,            0.047157,            0.015822,            0.012255,           0.0022519,           0.0022519,            0.079552
                  19,            0.057319,            0.027975,           0.0091626,             0.69866,             0.45706,             0.43328,             0.20558,            0.051618,            0.015568,            0.011376,           0.0023688,           0.0023688,            0.078469
                  20,            0.057406,            0.027708,           0.0092445,             0.63219,             0.42099,             0.39186,             0.18264,            0.051669,            0.015421,            0.011631,           0.0024853,           0.0024853,            0.077385
                  21,            0.054466,            0.027094,           0.0086897,             0.68263,             0.41611,             0.40662,             0.21129,             0.04367,            0.015768,            0.012809,           0.0026015,           0.0026015,            0.076301
                  22,            0.054668,            0.027884,           0.0080266,             0.87907,             0.45048,              0.5279,              0.2498,            0.041542,             0.01499,            0.011091,           0.0027173,           0.0027173,            0.075217
                  23,            0.051859,            0.026473,           0.0076961,              0.8385,             0.38747,             0.46545,             0.21163,            0.043465,            0.014971,            0.010833,           0.0028327,           0.0028327,            0.074133
                  24,            0.053317,            0.027392,           0.0078159,              0.8002,             0.39018,             0.47042,             0.21916,            0.046761,             0.01505,            0.010689,           0.0029477,           0.0029477,            0.073048
                  25,            0.049785,            0.025784,            0.007683,             0.79548,              0.4764,             0.49524,             0.23742,            0.043144,            0.014434,            0.009612,           0.0030623,           0.0030623,            0.071962
                  26,            0.049453,             0.02701,            0.007427,             0.76974,             0.46164,             0.48755,              0.2564,            0.039575,            0.014837,            0.010819,           0.0031765,           0.0031765,            0.070876
                  27,            0.049055,            0.027014,           0.0074609,             0.81312,             0.43471,             0.49032,             0.25267,            0.041475,            0.014593,           0.0097604,           0.0032901,           0.0032901,             0.06979
                  28,            0.048437,            0.025515,           0.0075027,             0.79384,             0.44404,             0.47506,             0.23247,            0.044048,            0.014114,           0.0095241,           0.0034034,           0.0034034,            0.068703
                  29,            0.047813,            0.025768,           0.0068993,             0.82858,             0.43422,             0.47611,               0.252,             0.03928,            0.015469,             0.01166,           0.0035161,           0.0035161,            0.067616
                  30,            0.046627,            0.026065,           0.0069337,             0.81386,             0.43208,             0.48489,             0.22629,             0.04263,            0.014291,            0.011062,           0.0036283,           0.0036283,            0.066528
                  31,            0.048531,             0.02614,           0.0066411,             0.80904,             0.46321,             0.50155,             0.26264,            0.039308,            0.014108,            0.009772,             0.00374,             0.00374,             0.06544
                  32,            0.046677,            0.025884,           0.0064766,              0.8546,             0.46097,             0.53577,             0.27206,            0.039045,            0.014118,           0.0095424,           0.0038511,           0.0038511,            0.064351
                  33,            0.043974,             0.02507,            0.006256,             0.89796,             0.49427,              0.5611,             0.28933,            0.037552,            0.013816,           0.0088059,           0.0039617,           0.0039617,            0.063262
                  34,            0.046334,            0.024327,           0.0062962,             0.82389,             0.43695,             0.46924,             0.23027,            0.041046,            0.015064,             0.01029,           0.0040717,           0.0040717,            0.062172
                  35,            0.043538,            0.025011,           0.0066221,             0.86254,             0.48521,              0.5525,             0.29149,            0.036519,            0.013921,           0.0091473,           0.0041812,           0.0041812,            0.061081
