               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10481,            0.048288,            0.031937,            0.011648,            0.032121,           0.0050335,            0.001056,            0.090929,            0.029825,            0.026626,              0.0004,              0.0004,              0.0964
                   1,            0.080767,            0.048888,              0.0213,             0.83683,             0.15697,             0.16324,            0.048581,            0.065936,            0.024569,            0.020937,          0.00080998,          0.00080998,             0.09271
                   2,            0.063942,            0.037247,            0.017415,              0.8981,             0.21152,             0.26693,            0.097171,            0.051666,            0.019578,            0.019365,           0.0012199,           0.0012199,             0.08902
                   3,            0.058995,            0.033512,            0.016521,             0.67212,             0.37253,             0.38966,             0.16339,             0.04442,            0.017424,            0.016673,           0.0016296,           0.0016296,             0.08533
                   4,            0.053253,            0.030337,            0.013109,              0.8667,             0.46008,             0.51349,             0.24179,            0.041321,            0.015801,            0.012941,           0.0020392,           0.0020392,            0.081639
                   5,            0.050887,            0.028921,            0.010459,              0.8317,             0.45539,             0.50263,              0.2502,            0.041039,            0.014727,            0.011193,           0.0024485,           0.0024485,            0.077948
                   6,            0.047014,            0.027064,           0.0087876,             0.83753,             0.47108,             0.52888,             0.25812,            0.040174,            0.014257,            0.010223,           0.0028575,           0.0028575,            0.074257
                   7,            0.044612,            0.025696,           0.0082354,             0.90364,             0.48358,             0.57358,             0.29837,            0.034529,            0.014028,            0.010284,            0.003266,            0.003266,            0.070566
                   8,            0.041847,            0.024343,           0.0074869,             0.87519,             0.50354,             0.56767,             0.30325,            0.035093,            0.013644,            0.009728,           0.0036742,           0.0036742,            0.066874
                   9,            0.040788,            0.023957,           0.0069545,             0.90941,             0.47057,             0.58685,             0.27199,            0.036293,            0.013379,           0.0088297,           0.0040818,           0.0040818,            0.063182
                  10,             0.03937,            0.024119,           0.0068056,             0.91998,             0.45798,             0.58377,             0.32085,            0.034324,            0.013259,           0.0090799,           0.0044889,           0.0044889,            0.059489
                  11,            0.037729,            0.023336,           0.0063842,             0.89477,              0.5249,             0.59912,              0.3454,            0.031784,            0.013405,           0.0086026,           0.0048954,           0.0048954,            0.055795
